Unnamed: 0,Posição,País (ou território dependente),Estimativa da ONU (2021),Mudança desde a última estimativa,Estimativa Oficial
,–,Wallis e Futuna (França),15 997,,Estimativa oficial
,–,Anguila (Reino Unido),15 793,,Estimativa oficial
,193,Nauru,12 511,,Estimativa oficial
,194,Tuvalu,11 204,,Estimativa oficial
,–,São Bartolomeu (França),9 139,,Estimativa oficial
,–,Santa Helena (território) (Reino Unido),6 158,,Estimativa oficial
,–,São Pedro e Miquelão (França),5 816,,Estimativa oficial
,–,Montserrat (Reino Unido),5 087,,Estimativa oficial
,–,Ilhas Malvinas (Reino Unido),3 978,,Estimativa oficial
,–,Santo Eustáquio (Países Baixos),3 879,,Estimativa Oficial [7]
,–,Território Britânico do Oceano Índico (Reino Unido),3 000,,Estimativa oficial [8]
,–,Ilha Norfolk (Austrália),2 169,,Estimativa oficial
,–,Ilha Christmas (Austrália),1 996,,Estimativa oficial
,–,Saba (Países Baixos),1 933,,Estimativa oficial [9]
,–,Niue (Nova Zelândia),1 626,,CIA World Factbook
,–,Tokelau (Nova Zelândia),1 411,,Final Estimativa oficial
,–,Ilha de Ascensão (Reino Unido),1 100,,Estimativa oficial[10]
,195,Vaticano,879,,Estimativa oficial
,–,[[File:|22x20px|border |alt=|link=]] Ilhas Cocos (Keeling) (Austrália),605,,Estimativa oficial
,–,Tristão da Cunha (Reino Unido),264,,Estimativa oficial[11]
,–,Ilhas Pitcairn (Reino Unido),67,,Estimativa oficial
